service_id,date,exception_type
C3 06LP101_003006,20260428,1
C3 06LP101_003006,20260429,1
C3 06LP101_003006,20260430,1
C3 06LP101_003006,20260501,1
C3 07FP101_003007,20260501,1
C3 07FP101_003007,20260503,1
C3 07LP102_003007,20260427,1
C3 07LP102_003007,20260428,1
C3 07LP102_003007,20260429,1
C3 07LP102_003007,20260430,1
C3 07LP102_003007,20260501,1
C3 07SP101_003007,20260502,1
C3 08FP101_003008,20260501,1
C3 08FP101_003008,20260503,1
C3 08LP102_003008,20260427,1
C3 08LP102_003008,20260428,1
C3 08LP102_003008,20260429,1
C3 08LP102_003008,20260430,1
C3 08LP102_003008,20260501,1
C3 08SP102_003008,20260502,1
C3 09FP102_003009,20260501,1
C3 09FP102_003009,20260503,1
C3 09LP102_003009,20260427,1
C3 09LP102_003009,20260428,1
C3 09LP102_003009,20260429,1
C3 09LP102_003009,20260430,1
C3 09LP102_003009,20260501,1
C3 09SP103_003009,20260502,1
C3 10LP101_003010,20260427,1
C3 10LP101_003010,20260428,1
C3 10LP101_003010,20260429,1
C3 10LP101_003010,20260430,1
C3 10LP101_003010,20260501,1
C3 10SP101_003010,20260502,1
C3 11LP102_003011,20260427,1
C3 11LP102_003011,20260428,1
C3 11LP102_003011,20260429,1
C3 11LP102_003011,20260430,1
C3 11LP102_003011,20260501,1
C3 12LP101_003012,20260427,1
C3 12LP101_003012,20260428,1
C3 12LP101_003012,20260429,1
C3 12LP101_003012,20260430,1
C3 12LP101_003012,20260501,1
CKD01S0901_750001,20260502,1
CKD02F0300_750002,20260501,1
CKD02F0300_750002,20260503,1
COM01FP102_160001,20260501,1
COM01FP102_160001,20260503,1
COM03FP105_160003,20260501,1
COM03FP105_160003,20260503,1
COM04FP100_160004,20260501,1
COM04FP100_160004,20260503,1
COM05FP101_160005,20260501,1
COM05FP101_160005,20260503,1
COM05SC101_160005,20260502,1
H  01FP103_101001,20260501,1
H  01FP103_101001,20260503,1
H  01LP200_101001,20260427,1
H  01LP200_101001,20260428,1
H  01LP200_101001,20260429,1
H  01LP200_101001,20260430,1
H  01LP200_101001,20260501,1
H  01SP103_101001,20260502,1
H  02FP103_101002,20260501,1
H  02FP103_101002,20260503,1
H  02LP109_101002,20260427,1
H  02LP109_101002,20260428,1
H  02LP109_101002,20260429,1
H  02LP109_101002,20260430,1
H  02LP109_101002,20260501,1
H  02SP101_101002,20260502,1
H  03FP101_101003,20260501,1
H  03FP101_101003,20260503,1
H  03LP108_101003,20260427,1
H  03LP108_101003,20260428,1
H  03LP108_101003,20260429,1
H  03LP108_101003,20260430,1
H  03LP108_101003,20260501,1
H  03SP101_101003,20260502,1
H  04FP101_101004,20260501,1
H  04FP101_101004,20260503,1
H  04LP108_101004,20260427,1
H  04LP108_101004,20260428,1
H  04LP108_101004,20260429,1
H  04LP108_101004,20260430,1
