shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
Route_225,42.2383106585842,-8.70716410125218,25760,8615
Route_225,42.2383890971773,-8.70735319698773,25761,8633
Route_225,42.2387127797509,-8.70803179586849,25762,8699
Route_225,42.2389351866226,-8.70849045361004,25763,8745
Route_225,42.2389888028799,-8.70852532232723,25764,8751
Route_225,42.2390305039585,-8.70852800453625,25765,8756
Route_225,42.2390702192456,-8.7085199579092,25766,8760
Route_225,42.2391119202704,-8.7085199579092,25767,8765
Route_225,42.2391287586607,-8.70852006636523,25768,8767
Route_225,42.2391724859962,-8.70852264016165,25769,8772
Route_225,42.2392082296752,-8.70853068678869,25770,8776
Route_225,42.2392375196193,-8.70854543893827,25771,8779
Route_225,42.2392506337092,-8.70856039700359,25772,8781
Route_225,42.2392563527444,-8.70855170964958,25773,8781
Route_225,42.23980938465,-8.70818022370102,25774,8850
Route_225,42.2399781168071,-8.70805553316613,25775,8871
Route_275,42.1795413860536,-8.76190921370119,25776,5
Route_275,42.1795592747749,-8.76196822229952,25777,10
Route_275,42.1796049903728,-8.76204600636095,25778,18
Route_275,42.1797560503747,-8.76222839657396,25779,41
Route_275,42.1803046358564,-8.76293649975389,25780,125
Route_275,42.1803682394079,-8.76303305927843,25781,136
Route_275,42.1804199172464,-8.76312425438493,25782,145
Route_275,42.1804874963595,-8.76325300041765,25783,158
Route_275,42.1808671281867,-8.76395573917955,25784,230
Route_275,42.1809426574499,-8.76406570974916,25785,242
Route_275,42.1810042727696,-8.76414885822862,25786,252
Route_275,42.1811096149514,-8.76423737112611,25787,266
Route_275,42.1813242744846,-8.76439293924898,25788,293
Route_275,42.1814952064279,-8.76448145214647,25789,313
Route_275,42.1817436530721,-8.76456191841692,25790,342
Route_275,42.1820477508138,-8.7646853000316,25791,377
Route_275,42.1821630290258,-8.76473089758485,25792,390
Route_275,42.1822365689376,-8.76473089758485,25793,398
Route_275,42.1823923396487,-8.76472332233535,25794,416
Route_275,42.1824351981401,-8.76472123808708,25795,420
Route_275,42.1824571869677,-8.7647201687488,25796,423
Route_275,42.1825386767933,-8.76470943991274,25797,432
Route_275,42.1825843902372,-8.76469066444963,25798,437
Route_275,42.1826360662644,-8.7646665245685,25799,443
Route_275,42.1826877422495,-8.76465847794145,25800,449
Route_275,42.1828109696753,-8.7646665245685,25801,463
Route_275,42.1829043836667,-8.76469066444963,25802,473
Route_275,42.183097174465,-8.76476040188402,25803,496
Route_275,42.1831607752075,-8.7647925883922,25804,503
Route_275,42.1831945630759,-8.76482745710939,25805,508
Route_275,42.1832243758861,-8.76487573687166,25806,513
Route_275,42.1835085910495,-8.76545509401888,25807,570
Route_275,42.1835721915142,-8.76555970017046,25808,581
Route_275,42.1836179042108,-8.76562675539583,25809,589
Route_275,42.1838007549258,-8.76586547199815,25810,617
Route_275,42.1838365299532,-8.76593520943254,25811,624
Route_275,42.1838504424583,-8.76601031128496,25812,631
Route_275,42.1838862174576,-8.76641532484621,25813,664
Route_275,42.1839100677399,-8.76652797762483,25814,674
Route_275,42.183935905217,-8.76663258377641,25815,683
Route_275,42.1839895676317,-8.7667559653911,25816,695
Route_275,42.1840500325276,-8.76689730783593,25817,708
Route_275,42.1840884945283,-8.76698721677312,25818,717
Route_275,42.1841008673814,-8.76701613966554,25819,720
Route_275,42.184118058644,-8.76705019170688,25820,723
Route_275,42.1842240918967,-8.7672602206859,25821,744
Route_275,42.1842996169335,-8.76736214462846,25822,756
Route_275,42.1843433416192,-8.76741847101778,25823,763
Route_275,42.1844288034177,-8.76748820845216,25824,774
Route_275,42.1846772385799,-8.76766255203813,25825,805
Route_275,42.1847309003695,-8.76768132750124,25826,811
Route_275,42.1847964871343,-8.76770010296434,25827,818
Route_275,42.1849634344597,-8.76772692505449,25828,837
Route_275,42.1850508833103,-8.76774570051759,25829,847
Route_275,42.1851124946267,-8.76777788702577,25830,854
Route_275,42.1851621811283,-8.76782080237001,25831,861
Route_275,42.1856610323066,-8.76829555336565,25832,929
Route_275,42.1861976410217,-8.76881590191454,25833,1002
Route_275,42.1863526606369,-8.76897951666444,25834,1024
Route_275,42.1863943964822,-8.7690438896808,25835,1031
Route_275,42.1864321574614,-8.76910558048814,25836,1038
Route_275,42.1865692896911,-8.76935770813554,25837,1064
Route_275,42.1866130128071,-8.76944890324205,25838,1072
Route_275,42.1866487862432,-8.76949986521333,25839,1078
Route_275,42.1867024463594,-8.76953473393053,25840,1085
Route_275,42.1867521316114,-8.76954278055757,25841,1090
Route_275,42.1868413137162,-8.76953381759403,25842,1100
